alias,technicalName,establishedBy,yearEstablished,linkToVideo,startPos,endPos,difficultyLevel,description,tips
-,Chest Roll 180 Flatspin to Feet,Ian Eisenberg,2021,https://youtu.be/n2z3IyeQSj4?t=16,CHEST,EXPOSURE,,Do a Chest Roll and in the same bounce a 180 Chest Flatspin to Feet.,
-,Chest Roll 360 Flatspin,Ian Eisenberg,2021,https://youtu.be/n2z3IyeQSj4?t=25,CHEST,CHEST,,Do a Chest Roll and in the same bounce a 360 Chest Flatspin.,
-,No Handed Chest Roll,Joshua Leupolz,2021,https://youtu.be/qUxUNfgvoPs?t=42,CHEST,CHEST,,Wrap your foot around the line to get a good hook and then do a Chest Roll without your hands.,Try to not use your shoulder or arm to keep the line near your body.
Dirty Bastard,360 to Chest,Ian Eisenberg,2021,https://youtu.be/A8O3iGYGPPk?t=39,STAND,CHEST,,From standing you turn 360 and land in Chest.,
-,360 Roll Down to Chest,Ian Eisenberg,2021,https://youtu.be/A8O3iGYGPPk?t=86,STAND,CHEST,,From standing you turn 360 while doing a roll around the line and land in Chest.,
-,Han Solo,Jim Galli,2020,https://youtu.be/dG9sJvKjg6E?t=323,EXPOSURE,EXPOSURE,,Almighty Flip but instead of hooking the line with your foot you grab and pull on the leash.,
-,Yoda Roll,Samuel Volery,2016,https://www.youtube.com/watch?v=oqOHHDXrvns,EXPOSURE,EXPOSURE,,From Exposure grab the line with both hands and roll around the line landing back in Exposure.,Try to wait a bit after hitting the bottom of the bounce before you start with the trick. If you start too early you will kill the bounce.
-,Back Yoda Roll,Samuel Volery,2017,https://youtu.be/yIVb9Fcc7sY?t=346,EXPOSURE,EXPOSURE,,From Exposure grab the line with both hands and roll around the line backwards landing back in Exposure.,Try to wait a bit after hitting the bottom of the bounce before you start with the trick. If you start too early you will kill the bounce.
-,Barrel Roll,-,-,https://youtu.be/dG9sJvKjg6E?t=396,STAND,STAND,,From your normal stance grab the line with both hands and roll around the line landing back in the starting position.,
-,Back Barrel Roll,-,-,https://youtu.be/dG9sJvKjg6E?t=396,STAND,STAND,,From your normal stance grab the line with both hands and roll around the line backwards landing back in the starting position.,
-,Double Barrel Roll,Justin Wagers,2021,https://youtu.be/VP49hErTqM0?t=415,STAND,STAND,,Double Barrel Roll.,
Flowflip from Feet to Feet,Switch 270 Yoda Roll Fake 90,Sebastian Egger,2021,-,STAND,STAND,,"From standing in switch you spin 180 by just turning your feet (no stepping). Then do an Adrenaline Roll but when you are landing, turn your feet again to not land in Exposure but in normal stance.",Either start or land in switch.
Overflow,270 Yoda Roll Fake 90,Tim Odermatt,2021,https://www.instagram.com/p/CSHcZfUFG9H/,STAND,STAND,,From your regular stance do a frontside 270 and roll around the line like you would for a Flowflip. Try to land back in your normal stance and not in Exposure.,
Turtle Roll,Double Yoda Roll,Pablo Signoret,-,https://youtu.be/VP49hErTqM0?t=420,EXPOSURE,EXPOSURE,,Two Yoda Rolls in one bounce.,
Back Turtle Roll,Double Back Yoda Roll,Ian Eisenberg,2020,https://www.youtube.com/watch?v=uPXa8gFa73M,EXPOSURE,EXPOSURE,,Two Back Yoda Rolls in one bounce.,
-,Triple Back Yoda Roll,Davis Hermes,2021,https://www.instagram.com/p/CUNMWEgAGP4/,EXPOSURE,EXPOSURE,,Three Back Yoda Rolls in one bounce.,
-,Front Almighty Flip,Axel Weber,2020,https://youtu.be/uuFlRIMmP8M?t=172,EXPOSURE,EXPOSURE,,From Exposure do a front flip while hooking one foot under the line and putting it back on the line for the landing.,After 270 deg of rotation try to pull the line under yourself with your feet.
Guitar Hero,Front Almighty Flip with Guitar,David Palomo,2021,https://youtu.be/7yLCyoHgUS0?t=976,EXPOSURE,EXPOSURE,,This one is for heros only!,
-,Double Front Almighty Flip,Sebastian Egger,2021,,EXPOSURE,EXPOSURE,,Double Front Almighty Flip.,Stay open for the first one and tuck for the second one to get good momentum.
-,180 Front Almighty Flip,Ian Eisenberg,2021,https://youtu.be/n2z3IyeQSj4?t=88,EXPOSURE,EXPOSURE,,Do a 180 and then go into a Front Almighty Flip.,
-,Fake 360 Front Almighty Flip,Sebastian Egger,2021,https://www.instagram.com/p/COPXx5vtOBy/,STAND,STAND,,Starting in switch stance you do a 270 spin and go into a Front Almighty Flip in the end turn 90 to look back at the same anchor where you started.,
-,Back Almighty Flip,Sebastian Egger,2020,https://youtu.be/VP49hErTqM0?t=10,EXPOSURE,EXPOSURE,,From Exposure do a back flip while hooking one foot under the line and putting it back on the line for the landing.,First lean back and then kick/hook the line.
-,Double Back Almighty Flip,Sebastian Egger,2021,-,EXPOSURE,EXPOSURE,,Double Back Almighty Flip,Do the first one laid out and tuck for the second one to get good momentum.; Try to get the hook at your ankle. If the line is near your toes it's hard to pull it around for the second roll.
Adrenaline Roll,Panic Roll from Feet to Feet,Ian Eisenberg,2020,https://youtu.be/qLEnzTtvTcA?t=37,STAND,EXPOSURE,,Do a 90 with restepping and go into a Yoda Roll.,
Jedi Roll,Yoda Roll Pop,Ian Eisenberg,2020,https://youtu.be/qLEnzTtvTcA?t=53,EXPOSURE,EXPOSURE,,Do a Yoda Roll but during the roll fully pop your feet off and then go back on the line,
-,Front Barrel Almighty Flip,Justin Wagers,2020,https://youtu.be/hsALSrUdryU?t=62,STAND,STAND,,Almighty flip but from normal stance.,
-,Back Barrel Almighty Flip,Justin Wagers,2020,https://youtu.be/Se5XNo0RSP8?t=426,STAND,STAND,,Like the barrel almighty flip but flipping the other direction.,
-,180 Front Yoda Roll,Ian Eisenberg,2021,https://youtu.be/Ab2gW1rv5e8?t=22,EXPOSURE,EXPOSURE,,From Exposure do a 180 and during the spin go into the Yoda Roll.,
Harry Potter Roll,Korean Roll,-,-,-,KOREAN,KOREAN,,"Sit in Korean, grab the line in front of you with both hands and let yourself fall to the side.",Keep your legs straight and push them together.
-,Back Korean Roll to Sofa,David Palomo,2021,https://youtu.be/7yLCyoHgUS0?t=783,KOREAN,SOFA,,Do a Back Korean Roll but the legs go away from the line so you can go to Sofa when landing.,
Richard Roll,Back Korean Roll 180,David Palomo,2021,https://youtu.be/7yLCyoHgUS0?t=695,KOREAN,KOREAN,,Do a Back Korean Roll but the legs go away from the line in order to turn 180 and land back in Korean looking at the other anchor.,
Despedido,Back Korean Roll 360 to Chest,David Palomo,2021,https://youtu.be/7yLCyoHgUS0?t=1036,KOREAN,CHEST,,It's a Back Korean Roll and a 360 at the same time.,
Can of Soup,One Leg Sit Roll to Feet,Justin Wagers,2019,https://youtu.be/xqblad7pNLA?t=287,SIT ONE LEG,STAND,,From One Leg Sit you roll to the side in the direction of your leg that is on the line and land to Feet in normal stance.,
-,Back Can of Soup,Ian Eisenberg,2021,https://youtu.be/IDYpoOE8Kq8?t=32,SIT ONE LEG,STAND,,From One Leg Sit you roll to the side in the direction of your leg that is hanging down and land to Feet in normal stance.,
-,Double Can of Soup,Justin Wagers,2019,https://youtu.be/xqblad7pNLA?t=585,SIT ONE LEG,STAND,,From sitting position (one legged) you do two rolls to the side and land on your feet in normal stance.,
-,270 Can of Soup,Davis Hermes,2021,https://youtu.be/VP49hErTqM0?t=356,SIT ONE LEG,EXPOSURE,,Do a Can of Soup and a 270 at the same time.,
California Roll,"""No-hands"" Korean Roll from Feet",Ian Eisenberg,2020,https://youtu.be/T27UrrWAr7A,STAND,KOREAN,,From standing let the line come to your kneepit and roll to the side landing in korean.,
Sushi Roll,Korean Roll from Feet to Feet,Ian Eisenberg,2021,https://youtu.be/Ab2gW1rv5e8?t=16,STAND,STAND,,Do a Korean Roll but starting from Feet and landing to Feet.,
-,Nevermind,Friedi Kuehne,2015,https://www.youtube.com/watch?v=kwMdKZOem60,NEVERMIND,STAND,,From the catch position (Nevermind) stand back up.,
Never Lounge,Nevermind Roll to Sofa,Eli Ellis,2018,-,NEVERMIND,SOFA,,Do a Nevermind with a Chest Roll and then swing your leg over to end in Sofa.,
